185,"CZ"
635,"GP"
981,"GE"
140,"CC"
177,"MD"
842,"NC"
469,"KN"
497,"RS"
24,"MF"
976,"NC"
172,"PS"
233,"MP"
831,"AE"
393,"TC"
940,"MK"
263,"MW"
552,"BO"
266,"AU"
800,"MP"
882,"NE"
663,"BS"
777,"DK"
950,"PG"
971,"BM"
756,"GU"
39,"MS"
461,"RE"
778,"RW"
831,"HT"
585,"MF"
375,"EC"
948,"DZ"
234,"IQ"
467,"BL"
984,"CK"
296,"CH"
874,"GH"
587,"MR"
452,"GB"
724,"AF"
86,"JM"
755,"CK"
780,"NG"
316,"NA"
854,"LB"
527,"JM"
570,"PY"
219,"TK"
708,"GU"
962,"SG"
23,"BE"
992,"TC"
590,"SO"
749,"NI"
27,"DZ"
306,"BZ"
593,"IM"
392,"GS"
533,"BB"
924,"KH"
839,"AR"
622,"AI"
295,"SJ"
481,"MD"
866,"VG"
229,"EC"
435,"BR"
928,"NZ"
142,"MQ"
475,"VA"
608,"DZ"
880,"SB"
490,"KP"
474,"SZ"
236,"GI"
565,"TR"
663,"YT"
476,"IT"
339,"BF"
9,"GS"
703,"GP"
15,"SN"
382,"EH"
195,"SR"
622,"PN"
841,"PF"
973,"CG"
307,"PE"
132,"CH"
532,"TG"
941,"TJ"
371,"PL"
481,"AD"
555,"HU"
586,"GD"
527,"IR"
575,"VG"
611,"CH"
710,"HN"
117,"UM"
